user_id,position,title,link,authors,publication,publication_year,cited_by_count
PT8wxO8AAAAJ,58,Novel applications of intuitionistic fuzzy digraphs in decision support systems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:86PQX7AUzd4C,"M Akram, A Ashraf, M Sarwar",The Scientific World Journal 2014,2014,67
PT8wxO8AAAAJ,59,Metric in bipolar fuzzy graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:2P1L_qKh6hAC,"M Akram, MG Karunambigai","World Applied Sciences Journal 14 (12), 1920-1927",2011,67
PT8wxO8AAAAJ,60,Intuitionistic fuzzy left ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:u-x6o8ySG0sC,"M Akram, WA Dudek","Soft Computing 12, 881-890",2008,66
PT8wxO8AAAAJ,61,Single-valued neutrosophic hypergraphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:KqW5X_olkfQC,"M Akram, S Shahzadi, AB Saeid","TWMS Journal of Applied and Engineering Mathematics 8 (1), 122-135",2018,65
PT8wxO8AAAAJ,62,Decision-making approach under Pythagorean fuzzy Yager weighted operators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:MtS25d97-7AC,"G Shahzadi, M Akram, AN Al-Kenani","Mathematics 8 (1), 70",2020,62
PT8wxO8AAAAJ,63,Novel concepts of bipolar fuzzy competition graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:jL-93Qbq4QoC,"M Sarwar, M Akram","Journal of Applied Mathematics and Computing 54, 511-547",2017,60
PT8wxO8AAAAJ,64,A new decision-making model using complex intuitionistic fuzzy Hamacher aggregation operators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:m03se8k-GH0C,"M Akram, X Peng, A Sattar","Soft Computing 25, 7059-7086",2021,59
PT8wxO8AAAAJ,65,Certain types of vague graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:kz9GbA2Ns4gC,"M Akram, F Feng, S Sarwar, YB Jun","University Politehnica of Bucharest Scientific Bulletin Series A 76 (1), 141-154",2014,58
PT8wxO8AAAAJ,66,A hybrid decision‐making framework under complex spherical fuzzy prioritized weighted aggregation operators,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:MbTKqoTs-1EC,"M Akram, A Khan, JCR Alcantud, G Santos‐García","Expert Systems 38 (6), e12712",2021,57
PT8wxO8AAAAJ,67,A systematic literature review to determine the web accessibility issues in Saudi Arabian university and government websites for disable people,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:XyWThvt29VcC,"M Akram, RB Sulaiman",International Journal of Advanced Computer Science and Applications 8 (6),2017,57
PT8wxO8AAAAJ,68,Complex fermatean fuzzy ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:54SpJiyHbzwC,"M Akram, U Amjad, JCR Alcantud, G Santos-García","Journal of Ambient Intelligence and Humanized Computing 14 (7), 8765-8798",2023,56
PT8wxO8AAAAJ,69,Vague hypergraphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:olpn-zPbct0C,"M Akram, AN Gani, AB Saeid","Journal of Intelligent & Fuzzy Systems 26 (2), 647-653",2014,56
PT8wxO8AAAAJ,70,Group decision-making for the selection of an antivirus mask under fermatean fuzzy soft information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:8cBNEdFwSQkC,"G Shahzadi, M Akram","Journal of Intelligent & Fuzzy Systems 40 (1), 1401-1416",2021,55
PT8wxO8AAAAJ,71,Complex Pythagorean Dombi fuzzy operators using aggregation operators and their decision‐making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:QlnOKEPDpKwC,"M Akram, A Khan, AB Saeid",Expert Systems,2020,55
PT8wxO8AAAAJ,72,-Rung Orthopair Fuzzy Competition Graphs with Application in the Soil Ecosystem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:TY5xIG7f_2sC,"A Habib, M Akram, A Farooq","Mathematics 7 (1), 91",2019,55
PT8wxO8AAAAJ,73,Bipolar Fuzzy Digraphs in Decision Support Systems.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:wKETBy42zhYC,"M Akram, N Alshehri, B Davvaz, A Ashraf",Journal of Multiple-Valued Logic & Soft Computing 27,2016,55
PT8wxO8AAAAJ,74,A new ELECTRE-based method for group decision-making with complex spherical fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:8EvVLpklxGMC,"K Zahid, M Akram, C Kahraman","Knowledge-Based Systems 243, 108525",2022,54
PT8wxO8AAAAJ,75,Multi-Attribute Decision-Making Based on ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:WTSGYGHz1bkC,"N Waseem, M Akram, JCR Alcantud","Symmetry 11 (12), 1498",2019,54
PT8wxO8AAAAJ,76,Generalization of maximizing deviation and TOPSIS method for MADM in simplified neutrosophic hesitant fuzzy environment,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:rUnQDpM0TEQC,"M Akram, S Naz, F Smarandache","Symmetry 11 (8), 1058",2019,54
PT8wxO8AAAAJ,77,Novel decision-making approach based on hesitant fuzzy sets and graph theory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:CKf5m1HYVjMC,"S Naz, M Akram","Computational and Applied Mathematics 38, 1-26",2019,53
PT8wxO8AAAAJ,78,Single-valued neutrosophic planar graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:EPG8bYD4jVwC,M Akrama,Infinite Study,2016,53
PT8wxO8AAAAJ,79,Intuitionistic fuzzy planar graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:bz8QjSJIRt4C,"N Alshehri, M Akram","Discrete Dynamics in Nature and Society 2014, 1-9",2014,53
